grid_id,event_num,event_name,flood_ratio,flooded_pixels,total_pixels,grid_covered
34.4_-79.0,1,Hurricane Florence,0.36946910150426887,43621,118064,True
34.4_-79.1,1,Hurricane Florence,0.14521163149589916,16749,115342,True
34.4_-79.2,1,Hurricane Florence,0.07853455520428988,3925,49978,True
34.5_-79.0,1,Hurricane Florence,0.20832200394262795,24517,117688,True
34.5_-79.1,1,Hurricane Florence,0.10097550585729499,11852,117375,True
34.5_-79.2,1,Hurricane Florence,0.09432708122065328,11069,117347,True
34.5_-79.3,1,Hurricane Florence,0.054834587970873934,3562,64959,True
34.7_-79.0,1,Hurricane Florence,0.04680171300387465,5508,117688,True
34.7_-79.1,1,Hurricane Florence,0.07318803418803418,8563,117000,True
34.7_-79.2,1,Hurricane Florence,0.10570940170940171,12368,117000,True
34.7_-79.3,1,Hurricane Florence,0.09074358974358974,10617,117000,True
34.8_-79.0,1,Hurricane Florence,0.006751227495908347,792,117312,True
35.0_-77.7,1,Hurricane Florence,0.05828490785322929,7021,120460,True
35.2_-76.7,1,Hurricane Florence,0.05069969351895958,5641,111263,True
35.2_-76.8,1,Hurricane Florence,0.0013750542246085597,168,122177,True
35.2_-77.5,1,Hurricane Florence,0.07942737441731455,9593,120777,True
35.2_-77.6,1,Hurricane Florence,0.12197701532311792,14647,120080,True
35.2_-77.7,1,Hurricane Florence,0.16134243837441706,19374,120080,True
35.2_-77.8,1,Hurricane Florence,0.17557461692205198,21083,120080,True
35.2_-78.0,1,Hurricane Florence,0.09479415336935126,11317,119385,True
35.2_-78.1,1,Hurricane Florence,0.034250373930726184,4076,119006,True
35.3_-76.6,1,Hurricane Florence,0.050463415770108516,4334,85884,True
35.3_-76.7,1,Hurricane Florence,0.03147109050988046,3483,110673,True
35.3_-76.8,1,Hurricane Florence,0.02267232255788541,2635,116221,True
35.3_-77.0,1,Hurricane Florence,0.0,0,121476,True
35.3_-77.5,1,Hurricane Florence,0.028472706734443003,3428,120396,True
35.3_-77.8,1,Hurricane Florence,0.08146198830409357,9751,119700,True
35.3_-78.0,1,Hurricane Florence,0.09560022183755441,11377,119006,True
35.3_-78.1,1,Hurricane Florence,0.009772616506730752,1163,119006,True
35.4_-76.6,1,Hurricane Florence,0.022647403358063256,870,38415,True
35.4_-76.7,1,Hurricane Florence,0.04433972848648042,1976,44565,True
35.4_-76.8,1,Hurricane Florence,0.04741189349028305,3335,70341,True
35.4_-77.0,1,Hurricane Florence,0.007648001385821316,883,115455,True
35.4_-77.1,1,Hurricane Florence,0.0,0,121476,True
35.4_-78.0,1,Hurricane Florence,0.04297262322908089,5114,119006,True
35.5_-76.5,1,Hurricane Florence,0.009341956677959142,819,87669,True
35.5_-76.6,1,Hurricane Florence,0.07622932479647511,4429,58101,True
35.5_-76.7,1,Hurricane Florence,0.06774065759936616,7695,113595,True
35.5_-76.8,1,Hurricane Florence,0.014387810255926285,1677,116557,True
35.5_-77.0,1,Hurricane Florence,0.031640403582360276,2791,88210,True
35.5_-77.1,1,Hurricane Florence,0.041049885039654864,4767,116127,True
35.5_-78.0,1,Hurricane Florence,1.6805875334016773e-05,2,119006,True
34.4_-79.0,5,Hurricane Matthew,0.43973607534896325,51917,118064,True
34.4_-79.1,5,Hurricane Matthew,0.20336911099165958,23457,115342,True
34.4_-79.2,5,Hurricane Matthew,0.06516867421665533,3257,49978,True
34.5_-79.0,5,Hurricane Matthew,0.1715213105839168,20186,117688,True
34.5_-79.1,5,Hurricane Matthew,0.0901384451544196,10580,117375,True
34.5_-79.2,5,Hurricane Matthew,0.10386290233239878,12188,117347,True
