waterDepth,building_age,totalBuildingInsuranceCoverage,elevated,post_firm,is_residential,primary_residence,zone_Low,zone_Moderate,county_37065,county_37107,county_37155,county_37191,event_Hurricane Bonnie,event_Hurricane Debby,event_Hurricane Dennis,event_Hurricane Eta,event_Hurricane Florence,event_Hurricane Floyd,event_Hurricane Fran,event_Hurricane Irene,event_Hurricane Isabel,event_Hurricane Matthew,event_Other,event_Tropical Storm Ernesto,event_Tropical Storm Ophelia,event_Unknown,log_claim,high_loss
1.0,27,22000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.729841653158086,1
8.0,5,118500,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.346905354662203,1
1.0,41,250000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.107730813325857,1
2.0,47,320600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.48918846991208,0
0.0,22,250000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.730266262422852,1
3.0,2,250000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.88076892784902,1
0.0,27,150200,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.16169409745414,1
1.0,50,38500,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.973433793209638,0
6.0,25,63800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.809374106360375,1
0.0,33,73300,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.547375092524273,0
1.0,43,250000,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.579017456181347,1
2.0,39,42600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.994658909893102,0
3.0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0
1.0,20,500000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.246416975050732,1
0.0,34,82500,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.897366859251049,1
2.0,27,102900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.070606212037372,1
1.0,13,18200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.197533233098094,0
2.0,11,91000,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.941197042207926,0
1.0,0,161000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.934458734243236,1
1.0,20,250000,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.110540959071118,0
1.0,19,85900,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.23771154947371,1
1.0,18,66000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.269855672841235,1
0.0,24,272300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.323860125621126,1
24.0,22,44000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.969924858933704,0
